term,answer
転移,クライエントが過去の重要な人物に対して抱いていた感情や態度をカウンセラーに向けること。
逆転移,クライエントからの転移に影響されてカウンセラーがクライエントに対して感情や態度を抱くこと。
精神分析療法,無意識に抑圧された葛藤や感情を意識化することを通して問題の理解と解決を目的とした心理療法。
行動療法,問題行動を不適切な学習によって形成されたものとみなし，学習理論を用いて問題行動の消去と適切な行動の獲得をめざす心理療法。
認知行動療法,認知の歪みなど物事の捉え方を見直すことで感情や行動の変容を促す心理療法。
来談者中心療法,ロジャーズが提唱した非指示的な心理療法で，受容・共感・自己一致を重視し，自己概念と経験の不一致を改善し自己成長を促す。
フォーカシング,身体感覚（フェルトセンス）に注意を向け，それを言語化することで自己理解を深める方法。
ゲシュタルト療法,今ここに着目することで排除されていた自己を統合し，全体性の回復をめざす心理療法。
交流分析,自我状態に着目して対人関係のパターンを分析し，適切な対人関係の再構築をめざす心理療法。
アセスメント,観察・面接・心理検査などを用いてクライエントの全体像を把握し，問題の理解や支援方針の決定に役立てる過程である。
家族療法,問題を個人の問題ではなく家族全体の問題として捉え，家族システムに介入して問題の改善を図る心理療法。
遊戯療法,言語が未発達な子どもに対して，遊びを媒介して自己表現を促す心理療法。
箱庭療法,箱庭を使ってクライエントの内的な世界を表現させ，自己治癒力の発揮を促す心理療法。
森田療法,不安や恐怖が特別なものではなく自然なものとして受け入れることで，あるがままの自分を受け入れ，とらわれをなくす心理療法。
内観療法,身近な人に対して，「してもらったこと」「して返したこと」「迷惑をかけたこと」の3つを報告し続けることで，人生観を変化させる心理療法。
インテーク面接,初回面接のことで，主訴の確認，リファーの判断，ラポールの形成が目的である。
MMPI,質問紙法による人格検査であり，人格特性や精神病理の特徴を多面的に測定し，臨床尺度と妥当性尺度を用いて評価する。
YG性格検査,質問紙法による性格検査で，12の性格特性尺度を用いて性格を類型的に把握する日本の心理検査。
ロールシャッハ・テスト,インクのしみに対する反応から，無意識的側面や人格特性を把握する投影法の人格検査。
TAT,曖昧な絵に対して物語を語らせることで，欲求や葛藤などの内的世界を把握する投影法の心理検査。
バウムテスト,「実のなる木を1本描いてください」と教示し，その表現内容から人格特性や心理状態を把握する投影描画法。
HTPテスト,家・木・人を描かせ，その表現内容から自己像や対人関係などを把握する投影描画法。
内田クレペリン精神作業検査,単純な加算作業を連続して行わせ，作業量や変動から性格特性や作業能力を評価する作業検査法。
うつ病,抑うつ気分や意欲低下などが持続し，日常生活に支障をきたす精神障害。
不安症,強い不安や恐怖により，身体症状や回避行動が見られ，日常生活に支障をきたす精神障害。
統合失調症,妄想や幻覚などの陽性症状，意欲低下や感情の平板化などの陰性症状，思考や行動のまとまりのなさなどの解体症状を特徴とする精神障害。
双極性障害,抑うつ状態と躁状態を繰り返すことを特徴とする精神障害で，気分の著しい変動により日常生活に支障をきたす
PTSD,強いトラウマ体験の後に，再体験・回避・過覚醒などの症状が持続し，日常生活に支障をきたす精神障害。
EMDR,眼球運動などの両側性刺激を用いてトラウマ記憶の再処理を促し，症状の軽減を図る心理療法。
ブリーフセラピー,問題の原因ではなく解決に焦点を当て，クライエントの資源を活用して短期間で問題解決をめざす心理療法。
DSM,アメリカ精神医学会が作成した精神障害の診断基準で，診断の標準化と信頼性の向上を目的とする。
暴露療法,不安や恐怖を引き起こす刺激に段階的または直接的に直面させることで，不安反応の軽減や消去をめざす心理療法。
系統的脱感作,不安階層表を作成し，リラクセーションと組み合わせながら低い不安から段階的に暴露することで，不安反応を弱める行動療法。
帰属,人の行動の原因を，性格や能力などの内的要因か，状況や環境などの外的要因に求める過程。
行為者・観察者バイアス,自分の行動は状況などの外的要因に，他者の行動は性格などの内的要因の帰属しやすい傾向。
統制の所在,出来事の原因を自分にあるとする内的統制か，外部にあるとする外的統制かという認知の傾向。
認知的不協和理論,認知の間に不一致が生じると不快な緊張状態が生じ，それを低減するために認知や行動を変化させるとする理論。
説得,他者の態度や信念，行動を変化させることを目的としたコミュニケーション過程。
フット・イン・ザ・ドア,最初に小さな要求を受け入れさせた後，より大きな要求を通しやすくする説得技法。
ドア・イン・ザ・フェイス,最初に大きな要求を提示して拒否させた後，本来の小さな要求を通しやすくする説得技法。
スリーパー効果,信頼性の低い情報源からの説得でも，時間の経過とともに情報源の内容の結びつきが弱まり，影響力が増す現象。
印象形成,限られた情報をもとに，他者の性格や特徴を推測し，全体的な人物像を形成する過程。
葛藤,同時に満たすことのできない欲求が存在し，その行動を選択するか迷う心理状態。
ジェームズ･ランゲ説,外的刺激によって生じた身体反応を認知することによって情動が生じるとする情動理論。
情動の2要因説,情動は生理的喚起とその状況に対する認知的解釈の2つのよって生じるとする理論。
欲求段階説,人の欲求は生理的欲求から安全・所属・承認を経て自己実現欲求へと段階的に発達するとする理論。
性格類型論,人の特徴をいくつかのタイプに分類して捉える立場であり，代表的なものにクレッチマーやユングの理論がある。
性格特性論,性格を連続的な特性の組み合わせとしてとらえ，個人差を数量的に理解しようとする立場。
基本的帰属の誤り,他者の行動を説明する際に，状況要因を過小評価し，性格などの内的要因を過大評価する傾向。
ハロー効果,ある顕著な特徴に引きずられて，他の特性の評価も歪められる現象であり，印象形成に影響を与える。
統計的仮説検定,帰無仮説を立て，標準データに基づいてそれを棄却するかどうかを判断することで，母集団についての推論を行う方法。
第1種の誤り,帰無仮説が正しいにもかかわらず，それを誤って棄却してしまう誤り。
第2種の誤り,帰無仮説が誤っているにもかかわらず，それを棄却できない誤り。
t検定,2群の平均値の差が統計的に有意であるかを検定する方法。
分散分析,3群以上の平均値の差を同時に比較し，有意差の有無を検定する方法。
多変量解析,複数の変数を同時に扱い，それらの関係性や構造を明らかにする統計的手法の総称。
スピアマンの2因子説,知能は全ての課題に共通する一般因子(g)と，各課題に特有の特殊因子(s)から構成されるとする理論。
サーストンの多因子説,知能は言語理解や数的能力などふくすうの一次的精神能力から構成されるとする理論。
ギルフォードの立体モデル,知能を操作・内容・所産の3次元からなる構造として捉える多因子モデル。
ビネー式知能検査,精神年齢の概念に基づき，知能指数(IQ)を算出する個別式の知能検査。
ウェスクラー式知能検査,言語性検査と動作性検査から構成され，偏差IQを用いて知能を評価する個別式知能検査。
有意水準,帰無仮説を棄却する基準となる確立であり，第1種の誤りを犯す確率の上限を示す。
p値,帰無仮説が正しいと仮定したときに，減災のデータ以上に極端な結果が得られる確率であり，有意水準と比較して判断に用いられる。
検出力,帰無仮説が誤っているときに，それを正しく棄却できる確率であり，第2種の誤りと関連する。
相関係数,2つの変数間の関連の強さと方向を示す指標であり，-1から+1の範囲で示される。
レスポンデント条件付け,刺激と刺激の連合によって反応が形成される学習であり，古典的条件付けとも呼ばれる。
オペラント条件付け,行動の結果（強化や罰）によってその行動の生起頻度が変化する学習。
強化,行動の後に与えられる結果によって，その行動の生起頻度が増加すること。
消去,条件づけられた反応が強化や無条件刺激が与えられなくなることで弱まる現象。
モデリング,他者の行動を観察し，模倣することによって成立する学習。
学習性無力感,回避できない失敗やストレスを繰り返し経験することで，努力しても無駄だと学習し無気力になる現象。
短期記憶,情報を短時間保持する記憶であり，容量には限界がある。
長期記憶,比較的長期間にわたり大量に情報を保持する記憶。
作業記憶,情報を一次的に保持しながら処理を行う記憶システム。
系列位置効果,系列の最初と最後の項目が記憶されやすい現象であり，初頭効果と新近効果がある。
忘却曲線,時間の経過とともに記憶が休息に減少し，その後緩やかに減少することを示す曲線。
メタ認知,自分の認知活動を客観的に把握し，調整・統制する働きであり，学習や問題解決において重要な役割を果たす。
スキーマ,過去の経験に基づいて形成された知識の枠組みであり，新しい情報の理解や記憶に影響を与える。
プライミング,先行する刺激の影響によって，後続の情報処理や反応が無意識的に促進される現象。